CodClientes;Faturado;SetorAtendim;Emissao;Saida;Transacao;CodProdut;Valor_prod;Qtd;Ganho
1137;S;5;20210810;20210811;85442;95;42.9;51;2187.9
1137;S;7;20210814;20210814;85677;121;45.6;9;410.4
1137;S;5;20210915;20210916;87257;66;20;33;660
4156;S;1;20190406;20190409;41403;77;68.4;43;2941.2
4156;S;1;20190924;20190926;50217;71;46.2;52;2402.4
4156;S;2;20190929;20190929;50492;109;32.9;74;2434.6
4156;S;2;20191026;20191026;51855;129;56.7;48;2721.6
4156;S;6;20191207;20191208;54059;68;12.5;49;612.5
4156;S;2;20191213;20191213;54364;128;51.3;79;4052.7
4156;S;3;20210419;20210423;79700;130;50.6;15;759
4156;S;1;20210629;20210629;83361;84;62.8;45;2826
2521;S;6;20190620;20190624;45224;68;12.5;33;412.5
2521;S;1;20190713;20190714;46500;70;58.1;24;1394.4
2521;S;6;20190830;20190830;48968;129;56.7;39;2211.3
2521;S;3;20190901;20190903;49004;63;17;74;1258
2521;S;1;20191018;20191020;51433;101;60.3;9;542.7
2521;S;7;20200211;20200215;57381;84;62.8;9;565.2
2521;S;5;20200329;20200329;59835;107;45.3;43;1947.9
2521;S;7;20210509;20210513;80760;78;52.3;7;366.1
2521;S;7;20211016;20211018;88846;65;47.6;13;618.8
363;S;1;20190109;20190112;36904;81;56.6;13;735.8
363;S;5;20190212;20190216;38631;108;50.5;34;1717
363;S;5;20190601;20190603;44249;75;40.7;33;1343.1
363;S;1;20190611;20190614;44788;113;57.3;21;1203.3
363;S;5;20190613;20190615;44889;94;32;18;576
363;S;6;20190623;20190625;45419;86;25.8;9;232.2
363;S;3;20190708;20190712;46208;73;47.5;48;2280
363;S;3;20190711;20190712;46376;67;15.7;60;942
363;S;6;20190825;20190825;48714;107;45.3;18;815.4
363;S;6;20190830;20190830;48943;68;12.5;21;262.5
363;S;6;20200117;20200117;56113;107;45.3;8;362.4
3608;S;6;20190128;20190128;37899;85;41.1;17;698.7
3608;S;7;20190211;20190212;38560;82;47.4;75;3555
3608;S;5;20190525;20190529;43960;79;73.4;18;1321.2
3608;S;7;20190526;20190526;44013;120;61.1;7;427.7
3608;S;5;20190916;20190916;49794;109;32.9;10;329
3608;S;1;20191017;20191020;51422;82;47.4;49;2322.6
3608;S;3;20210622;20210624;83000;95;42.9;23;986.7
3608;S;1;20211012;20211014;88617;72;53.3;19;1012.7
2555;S;2;20190114;20190114;37154;71;46.2;42;1940.4
2555;S;1;20190208;20190211;38381;103;35.9;23;825.7
2555;S;1;20190625;20190629;45541;67;15.7;47;737.9
2555;S;6;20190713;20190714;46464;80;57.5;18;1035
2555;S;6;20190930;20190930;50528;104;37.8;48;1814.4
2555;S;1;20191219;20191220;54640;76;59.7;58;3462.6
2555;S;2;20200303;20200306;58467;88;29;48;1392
2555;S;3;20200326;20200326;59653;69;38.9;72;2800.8
2555;S;4;20210228;20210228;77147;87;60.3;35;2110.5
2555;S;2;20210309;20210310;77625;113;57.3;25;1432.5
2555;S;2;20210310;20210314;77713;89;73.5;1;73.5
2555;S;1;20210509;20210512;80748;62;19.2;37;710.4
2555;S;6;20210522;20210523;81387;123;43.9;7;307.3
2555;S;3;20210603;20210604;81978;97;43.2;47;2030.4
2555;S;1;20210705;20210706;83655;111;63.9;13;830.7
2555;S;7;20211007;20211007;88387;72;53.3;20;1066
3388;S;7;20190412;20190416;41745;68;12.5;45;562.5
3388;S;6;20190429;20190429;42622;114;38;50;1900
3388;S;3;20190512;20190513;43281;95;42.9;55;2359.5
3388;S;6;20190824;20190827;48635;97;43.2;11;475.2
3388;S;1;20190928;20190928;50424;123;43.9;25;1097.5
3388;S;2;20191212;20191212;54311;110;20.6;54;1112.4
3388;S;6;20210301;20210304;77187;60;32.7;20;654
3388;S;3;20210503;20210504;80432;77;68.4;41;2804.4
3388;S;6;20210723;20210727;84606;97;43.2;14;604.8
3388;S;2;20210804;20210804;85153;130;50.6;48;2428.8
3388;S;6;20210807;20210810;85273;106;72.1;16;1153.6
1301;S;5;20190414;20190418;41840;89;73.5;10;735
1301;N;3;20190513;20190516;43354;81;56.6;45;2547
1301;S;7;20190609;20190613;44683;96;65.9;42;2767.8
1301;S;5;20190803;20190804;47597;67;15.7;6;94.2
1301;S;5;20191016;20191019;51394;90;44.5;20;890
1301;S;1;20191017;20191017;51404;126;69.4;50;3470
1301;S;3;20191110;20191110;52570;67;15.7;28;439.6
1301;S;2;20200126;20200126;56575;123;43.9;70;3073
1301;S;2;20200401;20200403;59920;85;41.1;7;287.7
1301;S;2;20210401;20210404;78794;115;34.6;73;2525.8
1301;S;6;20210423;20210423;79926;126;69.4;11;763.4
1301;S;5;20210426;20210426;80098;79;73.4;9;660.6
1301;S;1;20210511;20210514;80844;91;67.9;36;2444.4
1301;S;6;20210526;20210526;81614;94;32;56;1792
1301;S;3;20210526;20210526;81620;66;20;6;120
1301;N;1;20210718;20210718;84355;105;37.6;47;1767.2
1301;S;1;20210825;20210827;86200;76;59.7;31;1850.7
1301;S;1;20210911;20210914;87044;83;53.4;40;2136
1301;S;5;20211018;20211021;88934;92;50.7;37;1875.9
2270;S;3;20190117;20190118;37302;93;69.8;11;767.8
2270;S;6;20190405;20190405;41353;105;37.6;8;300.8
2270;S;3;20190528;20190528;44104;133;50.2;27;1355.4
2270;S;3;20190809;20190809;47870;99;28.6;11;314.6
2270;S;2;20190928;20190928;50419;106;72.1;8;576.8
2270;S;6;20200321;20200321;59371;104;37.8;67;2532.6
2270;S;7;20210210;20210211;76204;66;20;57;1140
2270;S;2;20210227;20210227;77099;75;40.7;13;529.1
2270;N;1;20210506;20210506;80563;131;30;75;2250
2270;S;6;20210830;20210830;86480;85;41.1;34;1397.4
1458;S;1;20190121;20190124;37500;92;50.7;23;1166.1
1458;S;1;20190524;20190526;43901;134;59;40;2360
1458;S;2;20190609;20190609;44638;85;41.1;48;1972.8
1458;S;2;20190710;20190711;46314;105;37.6;45;1692
1458;S;1;20190810;20190811;47917;101;60.3;38;2291.4
1458;S;5;20190815;20190817;48198;83;53.4;52;2776.8
1458;S;5;20191014;20191016;51248;131;30;43;1290
1458;S;1;20210218;20210222;76669;101;60.3;18;1085.4
1458;S;6;20210402;20210404;78818;131;30;44;1320
1458;S;7;20210428;20210428;80156;72;53.3;38;2025.4
1458;S;3;20210720;20210723;84458;101;60.3;16;964.8
1458;S;2;20210827;20210827;86325;102;61.6;17;1047.2
1458;S;6;20211024;20211024;89257;67;15.7;45;706.5
4359;S;5;20190427;20190427;42538;76;59.7;13;776.1
4359;S;1;20190514;20190517;43400;85;41.1;34;1397.4
4359;S;3;20190611;20190614;44742;91;67.9;50;3395
4359;S;1;20190625;20190629;45510;65;47.6;29;1380.4
4359;S;2;20191010;20191014;51070;87;60.3;13;783.9
4359;N;1;20191029;20191029;52042;61;34;36;1224
4359;S;3;20200310;20200312;58816;69;38.9;71;2761.9
4359;S;3;20210202;20210206;75755;106;72.1;9;648.9
4359;S;1;20210403;20210407;78891;68;12.5;29;362.5
4359;S;1;20210727;20210727;84812;103;35.9;11;394.9
149;S;2;20190213;20190217;38681;100;63.3;14;886.2
149;S;5;20190311;20190315;40096;72;53.3;22;1172.6
149;S;1;20191011;20191011;51128;120;61.1;33;2016.3
149;S;2;20191117;20191118;52925;134;59;33;1947
149;S;5;20200117;20200117;56130;97;43.2;20;864
149;S;6;20200327;20200327;59688;91;67.9;32;2172.8
149;S;6;20210303;20210303;77293;110;20.6;16;329.6
149;S;2;20210422;20210426;79900;118;57.1;79;4510.9
149;S;6;20210519;20210521;81242;129;56.7;21;1190.7
2806;S;1;20190303;20190307;39611;129;56.7;17;963.9
2806;S;6;20190326;20190326;40913;125;69.1;7;483.7
2806;S;3;20190411;20190412;41644;124;33.4;14;467.6
2806;S;6;20190716;20190720;46621;93;69.8;10;698
2806;S;4;20191019;20191021;51516;129;56.7;10;567
2806;S;5;20191109;20191113;52499;70;58.1;38;2207.8
2806;S;3;20200310;20200314;58802;86;25.8;45;1161
2806;S;3;20200325;20200328;59600;86;25.8;46;1186.8
2806;S;3;20210314;20210314;77883;71;46.2;24;1108.8
2806;S;3;20210330;20210330;78722;85;41.1;75;3082.5
2806;S;6;20210507;20210507;80668;118;57.1;37;2112.7
2806;S;6;20211023;20211026;89214;126;69.4;22;1526.8
4342;S;1;20190223;20190226;39193;75;40.7;43;1750.1
4342;S;2;20190427;20190427;42536;88;29;16;464
4342;S;2;20190721;20190724;46918;93;69.8;10;698
4342;S;3;20191020;20191021;51562;77;68.4;25;1710
4342;S;3;20191207;20191210;54035;104;37.8;71;2683.8
4342;S;1;20210207;20210208;76001;72;53.3;8;426.4
4620;S;5;20190409;20190411;41589;86;25.8;23;593.4
4620;S;2;20190502;20190505;42807;127;54.1;74;4003.4
4620;S;2;20190618;20190618;45157;76;59.7;36;2149.2
4620;S;6;20190721;20190723;46928;101;60.3;31;1869.3
4620;S;1;20190811;20190813;47965;67;15.7;32;502.4
4620;S;1;20190820;20190820;48465;99;28.6;22;629.2
4620;S;6;20190913;20190917;49637;84;62.8;15;942
4620;S;2;20191108;20191111;52451;108;50.5;44;2222
4620;S;1;20191128;20191128;53561;134;59;40;2360
4620;S;3;20191224;20191226;54959;91;67.9;33;2240.7
4620;S;1;20200212;20200216;57416;62;19.2;43;825.6
4620;S;3;20210205;20210208;75903;87;60.3;12;723.6
4620;S;6;20210223;20210226;76936;128;51.3;79;4052.7
4620;S;5;20210316;20210319;78024;61;34;44;1496
4620;S;6;20210320;20210322;78195;105;37.6;6;225.6
4620;S;1;20210429;20210429;80240;63;17;2;34
4620;N;2;20210430;20210430;80295;123;43.9;30;1317
4620;S;6;20210505;20210506;80506;108;50.5;46;2323
4620;S;5;20210513;20210514;80971;73;47.5;39;1852.5
4620;S;6;20210724;20210727;84677;75;40.7;9;366.3
4620;S;1;20210811;20210814;85519;62;19.2;26;499.2
4620;S;5;20210911;20210914;87021;68;12.5;37;462.5
4620;S;5;20210929;20210929;88001;98;48.4;25;1210
2765;S;2;20190111;20190115;37002;92;50.7;39;1977.3
2765;N;2;20190511;20190511;43235;133;50.2;47;2359.4
2765;S;6;20190721;20190725;46935;111;63.9;40;2556
2765;S;6;20190803;20190805;47572;126;69.4;22;1526.8
2765;S;6;20190821;20190822;48478;69;38.9;51;1983.9
2765;S;3;20190909;20190912;49428;112;42.5;12;510
2765;S;7;20200310;20200314;58812;130;50.6;62;3137.2
2765;S;1;20200322;20200325;59431;63;17;39;663
2765;S;3;20210226;20210226;77047;91;67.9;9;611.1
2765;S;2;20210422;20210425;79905;71;46.2;21;970.2
2765;S;6;20210702;20210702;83524;110;20.6;13;267.8
2765;S;5;20210903;20210907;86617;123;43.9;42;1843.8
2771;S;3;20190111;20190111;36998;121;45.6;26;1185.6
2771;S;2;20190223;20190225;39199;133;50.2;26;1305.2
2771;S;4;20190419;20190419;42094;82;47.4;74;3507.6
2771;S;3;20190523;20190525;43822;96;65.9;24;1581.6
2771;S;6;20190627;20190627;45595;105;37.6;74;2782.4
2771;S;6;20190723;20190726;47009;89;73.5;18;1323
2771;S;5;20190830;20190830;48964;130;50.6;42;2125.2
2771;S;3;20191202;20191206;53795;106;72.1;12;865.2
2771;S;2;20191219;20191221;54694;105;37.6;67;2519.2
2771;S;2;20200129;20200129;56774;133;50.2;16;803.2
2771;S;5;20210317;20210321;78066;82;47.4;78;3697.2
2771;N;3;20210723;20210724;84613;71;46.2;37;1709.4
2771;S;1;20211020;20211020;89037;99;28.6;53;1515.8
3113;S;2;20190325;20190326;40862;70;58.1;19;1103.9
3113;S;2;20190327;20190327;40956;69;38.9;76;2956.4
3113;S;3;20190510;20190514;43172;74;72.8;12;873.6
3113;S;5;20190608;20190611;44590;116;35.9;12;430.8
3113;S;6;20190620;20190622;45232;75;40.7;31;1261.7
3113;S;6;20190714;20190717;46516;90;44.5;14;623
3113;S;5;20191221;20191225;54769;120;61.1;35;2138.5
3113;S;6;20200224;20200224;58060;78;52.3;78;4079.4
3113;S;2;20210315;20210319;77977;94;32;78;2496
3113;S;4;20210411;20210415;79304;64;20.6;34;700.4
3113;S;6;20210816;20210816;85758;78;52.3;50;2615
230;S;2;20190510;20190511;43209;68;12.5;24;300
230;S;6;20190812;20190815;48047;126;69.4;28;1943.2
230;S;3;20190923;20190926;50155;131;30;23;690
230;S;3;20190927;20190927;50384;121;45.6;33;1504.8
230;S;3;20200329;20200329;59854;122;29;11;319
230;S;3;20210316;20210317;78008;79;73.4;11;807.4
230;S;2;20210529;20210529;81749;60;32.7;35;1144.5
230;S;2;20210906;20210908;86756;96;65.9;46;3031.4
1918;S;5;20190110;20190113;36937;105;37.6;54;2030.4
1918;S;5;20190509;20190510;43141;104;37.8;71;2683.8
1918;S;3;20190822;20190825;48572;122;29;31;899
1918;S;4;20190829;20190829;48886;83;53.4;49;2616.6
1918;S;3;20190925;20190929;50261;72;53.3;50;2665
1918;S;3;20190929;20190929;50474;61;34;55;1870
1918;S;6;20191113;20191114;52707;81;56.6;38;2150.8
1918;S;2;20191220;20191220;54747;101;60.3;20;1206
1918;S;6;20200320;20200320;59342;93;69.8;36;2512.8
1918;S;4;20210218;20210221;76635;87;60.3;40;2412
1918;S;5;20210304;20210307;77362;69;38.9;53;2061.7
1918;S;6;20210504;20210505;80449;132;23.9;46;1099.4
1918;S;2;20210504;20210507;80490;69;38.9;18;700.2
1918;S;5;20210616;20210616;82653;77;68.4;23;1573.2
1918;S;3;20210723;20210725;84584;78;52.3;14;732.2
1918;S;2;20210925;20210925;87755;130;50.6;7;354.2
1918;S;3;20210929;20210929;87968;106;72.1;12;865.2
2564;S;1;20190224;20190228;39286;113;57.3;11;630.3
2564;S;2;20190409;20190410;41567;125;69.1;35;2418.5
2564;S;2;20190606;20190608;44535;133;50.2;25;1255
2564;S;2;20190825;20190827;48709;111;63.9;36;2300.4
2564;S;1;20190904;20190904;49174;68;12.5;57;712.5
2564;S;1;20190914;20190915;49700;134;59;40;2360
2564;S;1;20191129;20191129;53656;134;59;19;1121
2564;S;6;20200117;20200119;56125;108;50.5;9;454.5
2564;S;2;20210210;20210214;76166;108;50.5;26;1313
2564;S;1;20210412;20210415;79364;86;25.8;42;1083.6
2564;S;1;20210609;20210612;82300;119;24.5;53;1298.5
2564;S;1;20210627;20210627;83231;125;69.1;33;2280.3
256;N;3;20190316;20190320;40342;91;67.9;35;2376.5
256;S;1;20190319;20190321;40524;66;20;12;240
256;S;6;20190407;20190407;41450;81;56.6;29;1641.4
256;S;3;20190530;20190530;44202;114;38;67;2546
256;S;1;20190530;20190530;44234;76;59.7;17;1014.9
256;S;3;20190607;20190609;44551;71;46.2;40;1848
256;S;5;20190822;20190822;48542;122;29;37;1073
256;S;6;20190914;20190918;49690;89;73.5;14;1029
256;S;3;20191022;20191024;51667;130;50.6;69;3491.4
256;S;5;20200125;20200125;56556;121;45.6;42;1915.2
256;S;1;20210408;20210409;79173;105;37.6;32;1203.2
256;S;2;20210530;20210530;81826;67;15.7;72;1130.4
256;S;6;20210613;20210613;82479;119;24.5;28;686
256;S;1;20210709;20210711;83876;83;53.4;30;1602
1911;S;5;20190311;20190314;40072;74;72.8;18;1310.4
1911;S;2;20191024;20191026;51772;127;54.1;33;1785.3
1911;S;1;20200318;20200318;59216;120;61.1;16;977.6
1911;S;5;20210730;20210730;84966;80;57.5;21;1207.5
1911;S;3;20211013;20211014;88678;88;29;50;1450
3623;S;7;20190112;20190112;37041;69;38.9;38;1478.2
3623;N;2;20190516;20190517;43482;61;34;20;680
3623;S;2;20190813;20190814;48106;102;61.6;25;1540
3623;S;6;20191120;20191120;53109;107;45.3;16;724.8
3623;S;5;20200126;20200126;56601;67;15.7;79;1240.3
3623;S;3;20210210;20210213;76198;92;50.7;52;2636.4
3623;S;2;20210725;20210728;84711;63;17;33;561
3623;S;5;20210812;20210814;85567;77;68.4;18;1231.2
3623;S;2;20210823;20210826;86089;73;47.5;23;1092.5
3623;S;5;20210905;20210906;86719;131;30;23;690
1098;S;2;20190126;20190126;37751;98;48.4;28;1355.2
1098;S;6;20190425;20190426;42392;102;61.6;39;2402.4
1098;S;7;20190817;20190820;48288;64;20.6;24;494.4
1098;S;6;20210512;20210514;80880;95;42.9;42;1801.8
1098;S;5;20210615;20210616;82610;87;60.3;29;1748.7
1098;S;6;20210923;20210924;87643;115;34.6;29;1003.4
1460;S;1;20190210;20190210;38519;100;63.3;7;443.1
1460;S;3;20190328;20190328;40978;69;38.9;54;2100.6
1460;S;6;20190517;20190518;43559;91;67.9;24;1629.6
1460;N;1;20190522;20190525;43772;114;38;41;1558
1460;S;5;20190721;20190724;46941;90;44.5;25;1112.5
1460;S;2;20190728;20190728;47318;131;30;18;540
1460;S;3;20200201;20200204;56845;121;45.6;24;1094.4
1460;S;3;20200209;20200210;57289;119;24.5;12;294
1460;S;3;20210507;20210509;80637;80;57.5;31;1782.5
1460;S;1;20210519;20210523;81255;83;53.4;42;2242.8
1460;S;6;20210605;20210607;82057;127;54.1;29;1568.9
1460;S;5;20210628;20210628;83286;89;73.5;14;1029
1460;S;6;20210821;20210825;86001;75;40.7;14;569.8
4143;S;7;20190113;20190115;37113;85;41.1;31;1274.1
4143;S;2;20190915;20190918;49761;68;12.5;20;250
4143;S;3;20190924;20190924;50220;129;56.7;35;1984.5
4143;S;5;20190927;20190927;50360;92;50.7;19;963.3
4143;S;3;20191208;20191212;54069;105;37.6;60;2256
4143;S;2;20210305;20210306;77441;72;53.3;44;2345.2
4143;S;7;20210307;20210309;77542;111;63.9;43;2747.7
4143;S;1;20210321;20210322;78267;88;29;23;667
4143;S;1;20210515;20210518;81032;127;54.1;62;3354.2
4143;S;3;20210627;20210627;83218;107;45.3;23;1041.9
3107;S;2;20190417;20190419;41965;108;50.5;16;808
3107;S;5;20190422;20190423;42253;110;20.6;34;700.4
3107;S;3;20190813;20190816;48098;95;42.9;40;1716
3107;S;5;20190928;20190928;50403;86;25.8;47;1212.6
3107;S;3;20191125;20191125;53403;91;67.9;48;3259.2
3107;S;7;20200304;20200304;58528;104;37.8;7;264.6
3107;S;5;20200306;20200309;58640;90;44.5;28;1246
3107;S;6;20210316;20210318;78022;130;50.6;48;2428.8
3107;S;3;20210318;20210321;78086;84;62.8;43;2700.4
3107;N;3;20210321;20210321;78272;96;65.9;45;2965.5
3107;S;2;20210414;20210417;79467;124;33.4;41;1369.4
3107;S;2;20210616;20210620;82679;93;69.8;44;3071.2
3107;S;5;20210920;20210920;87537;83;53.4;66;3524.4
3107;S;3;20210922;20210925;87629;126;69.4;16;1110.4
3604;S;6;20190308;20190308;39908;96;65.9;27;1779.3
3604;S;1;20190318;20190318;40451;134;59;47;2773
3604;S;3;20190603;20190605;44375;80;57.5;19;1092.5
3604;S;2;20190626;20190626;45583;84;62.8;12;753.6
3604;S;6;20190828;20190828;48812;111;63.9;21;1341.9
3604;S;5;20190924;20190928;50228;63;17;67;1139
3604;S;2;20191012;20191014;51167;129;56.7;21;1190.7
3604;S;1;20191029;20191029;52020;86;25.8;77;1986.6
3604;S;2;20191110;20191114;52586;66;20;55;1100
3604;S;1;20191128;20191128;53570;129;56.7;18;1020.6
3604;S;2;20191201;20191204;53722;130;50.6;50;2530
3604;S;1;20191205;20191208;53963;117;73;4;292
3604;S;1;20210523;20210524;81459;67;15.7;58;910.6
3604;S;6;20210525;20210527;81556;133;50.2;40;2008
3604;S;6;20210607;20210609;82149;93;69.8;17;1186.6
3604;S;5;20210616;20210619;82676;122;29;36;1044
3604;S;1;20210715;20210718;84161;68;12.5;31;387.5
3604;S;3;20210915;20210918;87245;105;37.6;31;1165.6
3650;S;2;20190515;20190517;43435;130;50.6;35;1771
3650;S;6;20210302;20210306;77257;94;32;61;1952
3650;S;6;20210315;20210315;77958;131;30;47;1410
3650;S;5;20210505;20210506;80549;93;69.8;12;837.6
3650;S;5;20210725;20210728;84710;97;43.2;35;1512
3650;S;3;20210930;20210930;88027;74;72.8;12;873.6
595;S;6;20190817;20190817;48262;81;56.6;66;3735.6
595;S;3;20190817;20190821;48283;120;61.1;43;2627.3
595;S;2;20191121;20191121;53164;90;44.5;48;2136
595;S;1;20191202;20191202;53799;131;30;68;2040
595;S;7;20191208;20191209;54067;102;61.6;24;1478.4
595;S;3;20191212;20191215;54275;131;30;13;390
595;S;3;20200308;20200312;58706;65;47.6;43;2046.8
595;S;3;20210308;20210309;77617;83;53.4;24;1281.6
595;S;1;20210430;20210430;80264;86;25.8;9;232.2
595;S;6;20210519;20210520;81258;133;50.2;10;502
595;S;5;20210712;20210713;84027;127;54.1;48;2596.8
595;S;2;20210823;20210824;86097;76;59.7;73;4358.1
595;S;3;20210911;20210912;87038;130;50.6;60;3036
595;S;6;20211013;20211014;88693;85;41.1;8;328.8
1930;S;2;20190503;20190503;42835;85;41.1;62;2548.2
1930;N;1;20190528;20190528;44123;104;37.8;66;2494.8
1930;S;4;20190820;20190822;48436;106;72.1;14;1009.4
1930;S;6;20191021;20191025;51617;94;32;47;1504
1930;S;7;20200210;20200211;57316;92;50.7;6;304.2
1930;S;2;20200311;20200313;58901;85;41.1;74;3041.4
1930;S;2;20200314;20200315;59041;106;72.1;5;360.5
1930;S;3;20210308;20210310;77589;82;47.4;53;2512.2
4182;S;1;20190217;20190220;38855;119;24.5;35;857.5
4182;S;1;20190413;20190417;41759;127;54.1;65;3516.5
4182;S;3;20190509;20190513;43147;83;53.4;46;2456.4
4182;S;4;20190923;20190925;50168;84;62.8;11;690.8
4182;S;1;20191014;20191017;51286;128;51.3;76;3898.8
4182;S;5;20191205;20191205;53958;113;57.3;41;2349.3
4182;N;1;20200206;20200206;57149;134;59;32;1888
4182;S;4;20210410;20210414;79255;70;58.1;19;1103.9
4182;S;3;20210527;20210527;81647;102;61.6;11;677.6
4182;S;2;20210626;20210626;83185;120;61.1;27;1649.7
4182;S;1;20210728;20210728;84871;104;37.8;79;2986.2
4182;S;3;20210802;20210803;85055;73;47.5;41;1947.5
2313;S;2;20190109;20190112;36912;106;72.1;20;1442
2313;S;1;20190307;20190307;39837;60;32.7;5;163.5
2313;S;5;20190429;20190429;42643;118;57.1;26;1484.6
2313;S;2;20190502;20190503;42814;68;12.5;33;412.5
2313;S;5;20190512;20190516;43303;73;47.5;48;2280
2313;N;5;20190711;20190711;46345;130;50.6;13;657.8
