index;index;cnpj_basico;cnpj_ordem;cnpj_dv;identificador_matriz_filial;Situacao_Cadastral;data_inicio_atividade;uf;municipio;opcao_pelo_simples;opcao_mei;CodClientes;faturam_cancel;faturam_concluid;ST1;ST2;ST3;ST4;ST5;ST6;ST7;Qtd;valor_comprado;Interv_Transacao;duracao_transacao;Interv_Transacao_std;ultima_compra_ano;ultima_compra_mes;ultima_compra_dia;evasao;tempo_existencia
32;9992;14738818;1;10;1;2;2011-12-02;DF;9701;1;0;1525;0;23;6;4;1;0;7;4;1;36.17391304347826;1064.0086956521739;45;1.6521739130434783;50.0696415831436;2021;10;7;0;10
33;10398;15138657;1;97;1;2;2012-02-27;DF;9701;1;0;1960;1;18;1;6;7;0;4;1;0;41.526315789473685;1141.842105263158;53;1.4736842105263157;54.294464624756074;2021;9;20;0;9
34;10798;15416066;1;34;1;2;2012-04-19;DF;9701;1;0;2684;2;13;3;5;1;2;2;2;0;35.13333333333333;1453.68;69;1.6;74.16941445647475;2021;10;5;0;9
35;10856;8423601;1;19;1;2;2006-10-30;DF;9701;0;0;1244;1;15;1;3;3;0;1;6;2;43.5;1074.13125;67;1.3125;81.80910028162445;2021;10;16;0;15
36;10990;9527349;1;50;1;4;2008-04-30;DF;9701;0;0;2119;0;20;3;6;3;2;0;3;3;26.75;655.255;43;1.55;44.61276912471439;2021;5;3;1;13
37;11200;11285677;1;30;1;2;2009-10-21;DF;9701;1;0;4178;2;17;3;4;5;0;2;2;3;26.157894736842106;1357.5894736842106;56;1.6842105263157894;48.9481017677567;2021;10;22;0;12
38;11316;11926687;1;7;1;2;2010-05-10;DF;9701;1;0;4637;1;18;0;6;5;0;5;2;1;45.21052631578947;1311.4473684210527;54;1.2105263157894737;44.90978611493144;2021;10;19;0;11
39;11553;13360340;1;75;1;2;2011-03-10;DF;9701;1;0;191;1;13;2;2;3;1;0;5;1;33.357142857142854;1359.1714285714286;69;2.357142857142857;104.46680625666438;2021;7;15;1;10
40;11967;37063328;15;62;0;2;2007-12-19;DF;9701;0;0;3499;1;20;7;2;3;0;2;5;2;38.095238095238095;1056.2619047619048;46;1.6666666666666667;49.62519521372184;2021;7;24;1;14
41;12025;10565310;2;98;0;2;2010-07-23;DF;9701;0;0;4458;2;14;0;4;3;1;2;5;1;34.4375;1381.40625;60;1.9375;63.34582332982446;2021;10;19;0;11
42;12142;15489736;1;42;1;4;2012-04-30;DF;9701;0;0;351;1;16;2;4;1;0;3;6;1;37.88235294117647;982.0823529411765;59;2.176470588235294;85.03508007728341;2021;9;15;0;9
43;12704;15914528;1;43;1;2;2012-07-04;DF;9701;0;0;2223;3;13;1;1;2;0;6;4;2;37.6875;1601.075;66;1.875;71.82738567798033;2021;10;18;0;9
44;12818;16482559;1;35;1;8;2012-06-29;DF;9701;0;0;1596;2;18;3;7;0;2;2;4;2;33.1;1373.175;50;2.1;47.89120866125651;2021;9;1;1;9
45;13017;16640472;1;49;1;2;2012-07-31;DF;9701;0;0;3728;2;18;3;3;3;0;1;6;4;40.0;1183.8049999999998;49;1.85;48.195125096865276;2021;8;17;1;9
46;13296;13681563;1;34;1;2;2011-03-31;DF;9701;0;0;3064;1;17;2;2;4;0;1;7;2;36.05555555555556;1216.138888888889;52;1.6111111111111112;41.29629623882731;2021;9;6;0;10
47;13448;16778632;1;10;1;4;2012-08-22;DF;9701;0;0;745;3;18;1;5;6;1;3;3;2;29.714285714285715;880.2523809523809;39;2.0;32.42047963864816;2021;6;29;1;9
48;13484;16800128;1;70;1;2;2012-08-28;DF;9701;0;0;3531;1;10;3;2;2;0;2;1;1;28.0;831.1;75;1.8181818181818181;53.16775338492309;2021;3;25;1;9
49;13936;38030169;11;39;0;8;2012-10-29;DF;9701;0;0;2693;1;19;8;3;0;1;2;5;1;36.75;1572.97;49;1.55;40.371405914489344;2021;8;28;1;9
50;15073;17870451;1;82;1;4;2013-04-01;DF;9701;0;0;261;2;12;1;1;6;1;0;4;1;38.92857142857143;1263.1642857142856;74;2.2142857142857144;75.91352913233216;2021;10;4;0;8
51;15659;8589117;1;64;1;2;2006-12-21;DF;9701;0;0;2589;4;25;10;7;1;0;3;6;2;36.51724137931034;1016.451724137931;36;1.9655172413793103;31.916104948787865;2021;10;17;0;15
52;15664;8643315;1;69;1;2;2007-02-06;DF;9701;0;0;2528;0;9;1;2;1;1;0;3;1;23.333333333333332;1142.9888888888888;85;1.2222222222222223;74.81978348003956;2021;3;1;1;14
53;15718;9254164;1;10;1;2;2007-12-12;DF;9701;0;0;208;2;18;5;3;3;1;2;5;1;28.1;1434.8700000000001;48;1.85;34.727909537301905;2021;9;13;0;14
54;15863;11411061;1;68;1;2;2009-12-16;DF;9701;0;0;1325;2;11;2;4;1;0;3;3;0;33.07692307692308;950.7692307692307;81;1.9230769230769231;105.3426947316867;2021;9;18;0;12
55;15951;12652507;1;9;1;2;2010-10-08;DF;9701;1;0;4586;2;17;3;4;1;1;2;7;1;35.21052631578947;1470.842105263158;53;1.9473684210526316;32.84160452313987;2021;10;4;0;11
56;15971;12907588;1;40;1;8;2010-11-19;DF;9701;0;0;1959;2;20;7;0;4;0;2;8;1;42.04545454545455;1215.8090909090909;43;2.4545454545454546;54.70788225614642;2021;8;24;1;11
57;16477;18353824;1;0;1;2;2013-06-17;DF;9701;0;0;1114;2;20;3;4;4;0;4;6;1;39.04545454545455;1307.6318181818183;44;2.1818181818181817;53.149001180931066;2021;8;3;1;8
58;17334;18844775;1;9;1;2;2013-09-09;DF;9701;0;0;1941;0;18;3;4;5;0;3;3;0;30.055555555555557;1328.8444444444444;53;1.8333333333333333;44.091992540918056;2021;8;16;1;8
59;17466;18928715;1;74;1;2;2013-09-19;DF;9701;0;0;2050;1;11;0;5;3;0;1;3;0;36.25;1755.95;91;2.0;68.13792526562672;2021;10;14;0;8
60;17616;14845973;1;36;1;2;2012-01-06;DF;9701;0;0;1124;1;12;1;4;4;1;3;0;0;31.0;1298.2846153846153;83;1.9230769230769231;74.97036451529068;2021;10;7;0;9
61;17752;19115233;1;68;1;2;2013-10-21;DF;9701;0;0;1105;2;15;1;0;2;0;5;5;4;42.05882352941177;1461.735294117647;61;2.5294117647058822;47.724101288028464;2021;10;13;0;8
62;17836;19161229;1;36;1;2;2013-10-25;DF;9701;0;0;2;0;17;1;5;3;1;1;5;1;35.76470588235294;1672.7823529411764;61;1.6470588235294117;44.55750322616831;2021;10;1;0;8
63;17986;19268074;1;31;1;8;2013-11-18;DF;9701;0;0;2004;1;17;1;3;5;1;1;6;1;24.11111111111111;1206.638888888889;54;2.111111111111111;40.37891463876715;2021;9;6;0;8
64;18013;19283109;1;1;1;2;2013-11-19;DF;9701;1;0;2616;4;19;5;4;2;0;3;6;3;41.43478260869565;1357.4652173913043;41;2.0434782608695654;46.09861868459943;2021;8;16;1;8
65;18074;19324926;1;60;1;8;2013-11-25;DF;9701;0;0;2186;2;9;1;0;4;0;1;4;1;34.45454545454545;841.1090909090908;85;1.8181818181818181;87.0303969886384;2021;10;18;0;8
66;18751;19737607;1;87;1;2;2014-02-18;DF;9701;1;0;2260;0;14;4;1;3;0;2;4;0;36.785714285714285;1779.7857142857142;67;2.142857142857143;66.79412864392928;2021;8;9;1;7
67;19394;20114223;1;97;1;2;2014-04-16;DF;9701;0;0;4369;4;10;1;0;2;1;3;6;1;22.714285714285715;948.6285714285714;75;2.2857142857142856;59.71985882821173;2021;10;22;0;7
68;19495;20167792;1;9;1;2;2014-04-29;DF;9701;1;0;4350;3;20;5;4;4;1;3;3;3;37.04347826086956;1460.8391304347826;42;1.6521739130434783;37.59222818395726;2021;9;29;0;7
69;19588;20498468;1;65;1;2;2014-06-20;DF;9701;0;0;2161;2;13;2;4;2;0;3;4;0;38.6;1384.8133333333333;68;1.5333333333333334;61.22878641386163;2021;9;12;0;7
70;20008;20771918;1;41;1;2;2014-07-23;DF;9701;0;0;3723;2;19;4;4;3;1;3;5;1;40.095238095238095;1126.4333333333332;48;2.1904761904761907;46.995106128191686;2021;10;13;0;7
71;20092;20832102;1;80;1;2;2014-08-11;DF;9701;0;0;2833;3;13;0;3;4;0;3;4;2;32.3125;1414.9125;61;2.5;52.29336053033459;2021;8;19;1;7
72;20167;20872474;1;30;1;2;2014-08-15;DF;9701;1;0;4545;2;18;2;4;3;1;3;5;2;38.15;1067.34;51;2.5;42.9286594956584;2021;9;18;0;7
73;20260;20928816;1;97;1;2;2014-08-26;DF;9701;0;0;4243;1;17;2;4;4;3;1;1;3;41.611111111111114;1136.4;58;0.9444444444444444;49.101406261794715;2021;9;28;0;7
74;20293;8616988;5;53;0;2;2014-08-29;DF;9701;0;0;1908;0;16;7;3;2;3;0;0;1;34.375;1508.5125;63;1.375;48.895625798451775;2021;10;10;0;7
75;20360;20995215;1;5;1;2;2014-09-03;DF;9701;0;0;2157;2;18;2;2;3;1;6;5;1;44.25;1223.325;47;2.0;45.315820037889324;2021;8;3;1;7
76;20451;21050275;1;0;1;2;2014-09-15;DF;9701;1;0;2705;0;15;3;2;2;0;3;3;2;28.8;1540.02;64;2.2;82.0017421417723;2021;7;13;1;7
77;20724;15827832;1;53;1;2;2012-06-15;DF;9701;0;0;1361;3;22;3;4;4;2;4;7;1;38.16;1111.572;35;1.84;27.673192001566346;2021;6;7;1;9
78;20891;21352545;1;37;1;8;2014-11-04;DF;9701;0;0;3717;0;11;2;3;3;1;0;1;1;42.09090909090909;1417.8727272727274;93;2.0;71.9658947001981;2021;8;28;0;7
79;21061;21471191;1;40;1;4;2014-11-20;DF;9701;0;0;267;3;18;1;2;5;0;4;9;0;37.76190476190476;1056.552380952381;44;2.142857142857143;48.96723394270908;2021;7;5;1;7
80;21200;21564503;1;60;1;2;2014-12-15;DF;9701;1;0;3004;2;16;4;2;3;1;0;6;2;35.666666666666664;1472.9;51;2.0;50.222411903844744;2021;9;18;0;7
81;21228;21583725;1;20;1;8;2014-11-27;DF;9701;0;0;1151;1;15;3;4;4;0;3;2;0;37.375;1563.8;53;2.5;37.779712368765686;2021;6;10;1;7
82;21913;22054608;1;31;1;2;2015-03-12;DF;9701;0;0;3556;1;20;1;9;3;0;6;2;0;35.57142857142857;1187.2380952380952;40;1.619047619047619;36.427873942902565;2021;10;7;0;6
83;21978;22104380;1;47;1;8;2015-03-19;DF;9701;0;0;1550;2;12;3;3;2;0;4;1;1;29.357142857142858;822.1785714285714;62;2.0;64.0602527026811;2021;4;13;1;6
84;22144;22207896;1;17;1;4;2015-04-07;DF;9701;0;0;195;1;17;6;3;5;0;3;0;1;27.72222222222222;907.7444444444444;53;1.8888888888888888;94.39763500644331;2021;9;1;0;6
85;22715;22487858;1;65;1;2;2015-05-19;DF;9701;1;0;4280;2;23;3;3;4;1;6;5;3;31.16;908.012;41;1.8;43.61065109453067;2021;10;2;0;6
86;23047;22703886;1;72;1;2;2015-06-22;DF;9701;1;0;1798;0;13;2;1;2;0;5;2;1;33.92307692307692;899.1538461538462;74;1.4615384615384615;67.40775590060505;2021;8;21;0;6
87;23204;22794534;1;70;1;4;2015-07-06;DF;9701;1;1;3684;1;13;3;4;2;0;2;2;1;32.92857142857143;590.5071428571429;50;2.2857142857142856;36.22480761012448;2021;6;18;1;6
88;23311;17457404;3;73;0;2;2015-07-14;DF;9701;0;0;1490;1;13;1;3;2;0;4;4;0;24.785714285714285;1050.7857142857142;72;1.5;90.83074838440454;2021;8;19;0;6
89;23495;27197888;177;11;0;2;2015-07-31;DF;9701;0;0;2576;3;13;3;4;2;0;3;4;0;35.5;978.81875;62;2.0;53.63315724023298;2021;10;5;0;6
90;23939;23272920;1;64;1;8;2015-08-12;DF;9701;0;0;158;0;16;0;2;5;1;4;3;1;45.625;1521.86875;55;1.8125;57.26453236224554;2021;7;17;1;6
91;24609;23653172;1;60;1;2;2015-11-10;DF;9701;0;0;3333;2;15;6;1;4;0;4;1;1;32.88235294117647;1305.4529411764706;55;1.7058823529411764;49.66131385444811;2021;7;2;1;6
92;24716;23725644;1;42;1;4;2015-11-24;DF;9701;0;0;3900;1;14;4;2;0;0;3;5;1;33.4;1069.8133333333333;60;2.1333333333333333;68.86073642075115;2021;7;6;1;6
93;24894;23859444;1;82;1;2;2015-12-17;DF;9701;1;0;1447;0;11;0;4;2;1;0;2;2;36.81818181818182;1738.9636363636362;87;0.7272727272727273;127.11821269983305;2021;9;27;0;6
94;25264;24090015;1;56;1;2;2015-10-19;DF;9701;0;0;1621;3;10;2;2;4;2;0;2;1;27.76923076923077;1100.5692307692307;64;1.7692307692307692;49.687076343407;2021;6;1;1;6
95;25300;11832478;7;90;0;2;2016-02-02;DF;9701;0;0;3513;0;11;2;2;3;0;0;1;3;38.45454545454545;1146.0727272727272;90;1.2727272727272727;121.21802671220152;2021;7;13;1;5
96;25313;24117965;1;27;1;2;2016-02-04;DF;9701;0;0;2803;0;9;1;3;3;1;0;1;0;26.11111111111111;1126.5888888888887;103;1.4444444444444444;85.61943412567032;2021;7;13;0;5
97;25376;24153190;1;45;1;2;2016-02-12;DF;9701;0;0;1043;2;15;4;2;3;0;4;3;1;33.470588235294116;1015.4470588235293;50;1.0588235294117647;68.75633493540795;2021;9;4;0;5
98;25377;24153214;1;66;1;2;2016-02-12;DF;9701;1;0;4285;2;24;5;5;3;1;6;4;2;34.42307692307692;1461.026923076923;39;1.7307692307692308;28.878393307107654;2021;10;8;0;5
99;25397;11832478;9;51;0;2;2016-02-11;DF;9701;0;0;3512;2;16;3;4;2;3;2;3;1;34.166666666666664;814.8277777777778;57;1.7222222222222223;46.09205472367791;2021;9;23;0;5
100;25456;24209248;1;25;1;2;2016-02-17;DF;9701;0;0;2441;3;16;3;3;3;1;3;5;1;32.78947368421053;1291.7578947368422;51;1.736842105263158;47.64866274858503;2021;8;14;1;5
101;25891;24471442;1;84;1;4;2016-03-22;DF;9701;0;0;1341;1;25;1;5;5;4;2;7;2;32.07692307692308;1083.6038461538462;37;1.9615384615384615;38.25597992471243;2021;10;17;0;5
102;26144;24618111;1;24;1;2;2016-04-18;DF;9701;1;0;1491;1;25;2;2;7;2;3;10;0;35.30769230769231;1353.1692307692308;38;1.7692307692307692;39.1328813148227;2021;9;26;0;5
103;26444;24773977;1;0;1;2;2016-05-11;DF;9701;1;0;2444;1;14;3;2;2;0;2;3;3;34.266666666666666;1564.6333333333334;71;2.3333333333333335;50.25186563700894;2021;10;8;0;5
104;26937;25065339;1;5;1;8;2016-06-23;DF;9701;0;0;1135;1;21;2;3;4;1;1;8;3;30.90909090909091;1459.409090909091;44;1.5909090909090908;44.646355418490714;2021;9;19;0;5
105;26962;25080389;1;53;1;4;2016-06-27;DF;9701;0;0;3662;1;14;1;4;3;0;3;4;0;40.8;1411.0133333333333;63;2.533333333333333;77.11626525803061;2021;8;5;1;5
106;27049;23301629;1;77;1;2;2015-09-18;DF;9701;1;0;3511;0;10;3;2;3;0;1;0;1;34.4;833.6299999999999;101;2.1;69.08091516118017;2021;7;13;1;6
107;27649;22502906;1;47;1;2;2015-05-20;DF;9701;0;0;3047;3;14;3;4;3;0;2;5;0;39.411764705882355;1766.4764705882353;58;2.0;44.35492503657289;2021;10;21;0;6
108;27653;18212544;1;82;1;2;2013-05-27;DF;9701;0;0;2624;2;15;5;2;2;1;0;6;1;42.705882352941174;1168.6470588235295;57;1.6470588235294117;64.83316931748747;2021;8;18;1;8
109;27701;21550056;1;90;1;4;2014-12-09;DF;9701;0;0;1065;1;11;1;2;4;1;2;1;1;30.416666666666668;1305.8166666666666;58;1.8333333333333333;61.148782111494334;2021;9;5;0;7
110;27747;24251075;1;3;1;2;2016-02-25;DF;9701;1;0;1685;2;18;2;4;2;0;4;5;3;39.1;1881.895;50;1.55;50.79773589737213;2021;10;8;0;5
111;27822;19917739;1;90;1;8;2014-03-18;DF;9701;0;0;3451;0;20;4;1;6;0;2;7;0;38.55;1256.3;51;2.0;52.18208053619434;2021;9;11;0;7
112;27934;24989795;1;70;1;4;2016-06-13;DF;9701;0;0;3612;1;14;3;3;2;0;1;4;2;41.6;1766.2066666666665;67;1.9333333333333333;60.36136925185829;2021;10;2;0;5
113;27989;11015304;1;49;1;2;2009-07-08;DF;9701;1;0;1227;0;18;3;3;2;0;3;5;2;31.666666666666668;1366.5333333333333;57;1.6111111111111112;48.47808337253081;2021;9;15;0;12
114;28398;25276829;1;42;1;2;2016-07-25;DF;9701;1;0;2138;0;17;0;5;2;0;2;6;2;43.11764705882353;1198.370588235294;54;1.6470588235294117;60.51520340996963;2021;8;12;1;5
115;28456;21178028;1;93;1;2;2014-10-07;DF;9701;1;0;3862;1;24;3;5;2;2;5;6;2;27.32;893.852;35;1.52;34.29032500413037;2021;6;18;1;7
116;28462;25682716;1;47;1;8;2016-08-15;DF;9701;0;0;1431;1;14;2;4;3;0;2;3;1;21.4;1034.8666666666666;59;1.3333333333333333;66.66195561585792;2021;10;11;0;5
117;28774;10565310;5;30;0;2;2011-10-11;DF;9701;0;0;4459;0;17;6;2;3;1;0;2;3;30.0;1146.605882352941;51;1.2941176470588236;38.28980771693689;2021;10;22;0;10
118;29274;24187521;1;68;1;2;2016-02-17;DF;9701;1;0;3904;1;14;3;1;6;0;4;1;0;32.8;857.3199999999999;68;1.9333333333333333;68.07397686730673;2021;9;4;0;5
119;29403;12801705;1;97;1;2;2010-10-25;DF;9701;0;0;414;1;15;3;1;1;0;4;5;2;29.625;1201.5375;59;1.875;69.65196017023179;2021;7;23;1;11
120;29772;24075447;1;98;1;2;2016-01-28;DF;9701;1;0;2428;1;18;6;0;1;0;4;6;2;33.10526315789474;1413.3105263157895;54;1.5789473684210527;32.34707611722168;2021;9;30;0;5
121;29954;19434394;1;14;1;3;2013-12-13;DF;9701;0;0;3542;2;12;1;1;1;1;4;4;2;30.142857142857142;1159.9857142857143;74;2.2857142857142856;44.44876047419441;2021;10;13;0;8
122;30352;13928377;1;57;1;2;2011-07-04;DF;9701;1;0;4565;1;7;0;2;2;0;2;2;0;37.0;893.125;120;2.0;144.33577632219468;2021;5;5;1;10
123;30375;12810963;1;30;1;2;2010-11-04;DF;9701;1;0;320;0;11;0;0;4;1;4;2;0;42.54545454545455;1509.1545454545455;86;1.6363636363636365;84.15248065268189;2021;8;18;0;11
124;30545;7526557;32;6;0;2;2013-07-29;DF;9701;0;0;1102;1;9;3;2;0;0;2;1;2;25.1;1362.15;105;1.3;132.08844773367335;2021;10;9;0;8
125;30835;26156938;1;99;1;4;2016-09-13;DF;9701;0;0;1631;1;22;2;5;4;0;3;9;0;25.08695652173913;1327.517391304348;43;2.260869565217391;36.065253074654045;2021;9;30;0;5
126;30940;26219776;1;90;1;2;2016-09-21;DF;9701;0;0;4242;1;13;2;4;4;0;1;3;0;34.5;1021.4857142857143;67;1.3571428571428572;45.856994072065426;2021;7;10;1;5
127;30975;26240249;1;68;1;2;2016-09-26;DF;9701;0;0;1893;1;15;4;4;3;1;0;2;2;22.5;980.61875;57;2.25;49.043472778976636;2021;10;5;0;5
128;30978;26242489;1;0;1;2;2016-09-21;DF;9701;0;0;1326;1;17;1;1;6;0;3;3;4;31.555555555555557;1333.4;57;1.6666666666666667;35.960666709239554;2021;9;28;0;5
129;31365;26494074;1;15;1;2;2016-11-07;DF;9701;0;0;3171;1;15;2;2;2;1;3;3;3;27.1875;1384.225;64;1.8125;73.5830294444461;2021;9;10;0;5
130;31490;26587745;1;92;1;2;2016-11-23;DF;9701;1;0;4098;2;9;2;1;1;0;3;4;0;33.54545454545455;1287.4545454545455;81;2.3636363636363638;70.17756051616499;2021;5;21;1;5
131;31717;26740470;1;85;1;2;2016-12-20;DF;9701;1;0;4099;1;17;5;3;2;1;4;2;1;27.555555555555557;1247.861111111111;56;1.3888888888888888;66.8945355969646;2021;9;24;0;5
132;32079;25266790;2;63;0;8;2017-01-25;DF;9701;1;0;2109;1;20;2;5;6;0;3;2;3;29.61904761904762;1234.547619047619;47;1.2380952380952381;86.09522344474169;2021;10;4;0;4
133;32337;27181158;1;61;1;8;2017-02-23;DF;9701;0;0;1417;1;14;2;6;2;0;3;1;1;27.333333333333332;1144.0266666666669;67;1.1333333333333333;54.97295253307832;2021;10;18;0;4
134;32338;27181230;1;50;1;2;2017-02-23;DF;9701;1;0;2076;1;11;4;1;1;2;2;2;0;40.75;1856.0666666666666;87;1.6666666666666667;89.15405925134165;2021;10;8;0;4
135;32352;27189245;1;65;1;2;2017-02-24;DF;9701;0;0;260;0;16;2;3;3;1;3;3;1;38.3125;917.3875;66;1.375;38.453203883277254;2021;10;23;0;4
136;32390;27221161;1;61;1;2;2017-03-03;DF;9701;1;0;1667;2;12;2;3;2;1;2;3;1;34.0;1249.1785714285713;71;1.2857142857142858;60.38515433370463;2021;9;6;0;4
137;32474;27272641;1;51;1;2;2017-03-10;DF;9701;1;0;1512;1;23;5;7;3;0;3;5;1;36.916666666666664;1173.6458333333333;38;2.0;32.9570379677362;2021;9;3;1;4
138;32568;27339219;1;76;1;8;2017-03-20;DF;9701;0;0;1581;1;16;6;3;3;1;0;3;1;31.647058823529413;931.5294117647059;50;1.7058823529411764;58.825450221396515;2021;8;8;1;4
