cod_cliente;inscri_estad;cnpj_basico;cnpj_ordem;cnpj_dv;cidade;estado;bairro;cep;logradouro;num;cnae;cod_cidade;cod_praca;praca;num_regiao;regiao;lat;long;ramo_atv;nome
1341;7,76195E+11;24471442;1;84;BRASILIA;DF;ASA NORTE;70743520;CLN 107 BLOCO B ;S/N;;5300108;3;ASA NORTE/SOFN/NOROESTE;1;BRASILIA - DF;-15.765.209;-47.885.547;;REY COMÉRCIO DE ALIMENTOS
2640;7,84958E+11;29942807;1;25;BRASILIA;DF;SUDOESTE;70673623;CLSW 303 ;S/N;;5300108;5;SUDOESTE/SIA/OCTOGONAL;1;BRASILIA - DF;;;;BENEVENUTO & LOPES LTDA
2413;7,30305E+11;26985267;1;79;BRASILIA;DF;PLANALTINA;73350107;QUADRA E CONJUNTO E/03 LOTE 16 ;S/N;;5300108;4;LAGO NORTE;1;BRASILIA - DF;;;;C F DA SILVA
3350;7,63127E+11;17406168;1;2;BRASILIA;DF;ASA SUL;70200002;SCE/S TRECHO 2 CONJUNTO 17 - PARTE - LAN;1;;5300108;1;ASA SUL;;;;;10;SER BAR LANCHONETE E DIVERSOES LTDA ME
713;7,49517E+11;9178597;1;33;BRASÍLIA;DF;ASA SUL;70276020;SQS 410 BLOCO B;S/N;;5300108;1;ASA SUL;1;BRASILIA - DF;-15.825.375;-47.906.318;;POLAR LANCHES E CONVENIENCIAS LTDA
634;7,37032E+11;1713958;3;54;BRASÍLIA;DF;SAMAMBAIA;72317800;RODOVIA BR 060, KM 09, COLÔNIA AGRÍCOLA VEREDAS, C;18B;;5300108;1;ASA SUL;1;BRASILIA - DF;;;;MUNDIAL CENTER ATACADISTA LTDA
3046;7,83061E+11;28866488;1;53;BRASILIA;DF;SOBRADINHO ;73026015;QUADRA 04;S/N;;5300108;11;SOBRADINHO;1;BRASILIA - DF;;;2;PAO DA HORA PANIF. E CONF. LTDA EPP
319;7,48799E+11;8853802;1;56;BRASILIA;DF;LAGO NORTE;71503505;SHIN CA 5 CENTRO DE ATIVIDADE ;S/N;;5300108;4;LAGO NORTE;1;BRASILIA - DF;;;;CONVENIENCIA GURGEL LTDA ME
1789;7,42594E+11;4644820;1;77;BRASÍLIA;DF;ASA SUL;70345510;CLS 106 BLOCO A;S/N;;5300108;1;ASA SUL;1;BRASILIA - DF;-15.811.827;-47.897.874;;BISCOITOS CASEIROS HOMANNA LTDA EPP
1084;7,74239E+11;23565152;1;37;BRASÍLIA;DF;SETOR DE HABITACOES;71615560;SHIS QI 5 BLOCO F Nº24/29;5;;5300108;1;ASA SUL;1;BRASILIA - DF;;;;RODOLFO LIRA DOS SANTOS 05009220121
3320;07902724/00157;32617903;1;2;BRASILIA;DF;ASA SUL;70237510;SHC/S CL QD 403 BL A LOJA 16 PARTE A;S/N;;5300108;1;ASA SUL;;;;;27;RESTAURANTE 61 LTDA
4311;7,92607E+11;34161914;1;56;BRASILIA;DF;ASA NORTE;70875520;CLN 216;S/N;;5300108;3;ASA NORTE/SOFN/NOROESTE;1;BRASILIA - DF;;;20;BROTINHO COMERCIO DE ALIMENTOS EIRELI
3487;7,79695E+11;26984243;1;3;BRASILIA;DF;ASA SUL;70364020;QUADRA SQS 311 BLOCO B;S/N;;5300108;1;ASA SUL;;;;;21;AJRW COMERCIO DE CONVENIENCIA EIRELI-ME
760;7,43527E+11;5119385;1;24;BRASÍLIA;DF;AGUAS CLARAS;72020016;QUADRA 301 RUA A CONJUNTO 02 LOTE 01 LOJA 02 E 04,;301;;5300108;6;TAGUATINGA/GUARA/AGUAS CLARAS;1;BRASILIA - DF;;;;AVALON COMERCIAL DE ALIMENTOS LTDAEPP
4551;7,70236E+11;6023850;1;91;BRASILIA;DF;ASA SUL;70272530;SHC/SUL CL QDA 209;S/N;;5300108;1;ASA SUL;1;BRASILIA - DF;;;2;MVM COMERCIO DE PRODUTOS ALIMENTICIOS LTDA
2309;7,68136E+11;20209736;1;81;BRASILIA;DF;GUARA 2;71050150;QE 15 LOTE A;S/N;;5300108;6;TAGUATINGA/GUARA/AGUAS CLARAS;1;BRASILIA - DF;;;;COMERCIAL DE ALIMENTOS HTP LTDA
3414;7,42054E+11;4337205;1;18;BRASILIA;DF;CEILANDIA;72227992;RODOVIA DF-180, NÚCLEO;4;;5300108;1;ASA SUL;;;;;12;DISTRIBUIDORA BRASIL DE ALIMENTOS LTDA
3565;7,79219E+11;21827706;1;0;BRASILIA;DF;NORTE (ÁGUAS CLARAS);71916500;AVENIDA PAU BRASIL LOTE 14;8;;5300108;1;ASA SUL;;;;;10;JOSE ANTONIO DA ROCHA RODRIGUES BAR E RESTAURANTE LTDA ME
2771;7,48147E+11;8414214;1;16;BRASILIA;DF;TAGUATINGA SUL;72035520;ST CSG 20 ;S/N;;5300108;6;TAGUATINGA/GUARA/AGUAS CLARAS;1;BRASILIA - DF;;;;BONS VENTOS COM.E TRANS. DE ALIM. LTDA
2326;7,85081E+11;30008845;1;94;BRASILIA;DF;AGUAS CLARAS;71936250;AV DAS ARAUC LTS 1835, 1905, 1955 E 2005 QUIOSQUE Nº 22;S/N;;5300108;6;TAGUATINGA/GUARA/AGUAS CLARAS;1;BRASILIA - DF;;;;GREEN COMERCIO ARTIGOS ESPORTIVOS EIRELI
1062;7,7265E+11;22725924;1;98;BRASILIA;DF;ASA SUL;70386530;CLS 116 BLOCO C ;S/N;;5300108;1;ASA SUL;1;BRASILIA - DF;-15.830.998;-47.924.428;;EMPORIO FCG RESTAURANTE EIRELI ME
2061;7,8357E+11;29111208;1;60;BRASILIA;DF;LAGO SUL;71608000;AEROPORTO INTERNACIONAL DE BRASILIA JK;S/N;;5300108;2;LAGO SUL/SAO SEBASTIAO;1;BRASILIA - DF;-15.869.737;-47.917.195;;MKF COMERCIO DE PRODUTOS ALIMENTICIOS EIRELI ME
1455;7,81148E+11;27782302;1;15;BRASILIA;DF;SUDOESTE;70670502;CLSW 101 BLOCO B ;S/N;;5300108;5;SUDOESTE/SIA/OCTOGONAL;1;BRASILIA - DF;-15.798.212;-47.920.341;;SANTOS COMERCIO DE BEBIDAS EIRELI ME
3498;7,3293E+11;37063328;16;43;BRASILIA;DF;ASA SUL;70200002;TRECHO SCES TRECHO 2;1;;5300108;1;ASA SUL;;;;;21;AUTO SHOPPING DERIVADOS DE PETROLEO LTDA
1956;7,76019E+11;24377408;1;45;BRASILIA;DF;LAGO SUL;71615580;SHIS QI 5 BLOCO H GILBERTO SALOMÃO;S/N;;5300108;2;LAGO SUL/SAO SEBASTIAO;1;BRASILIA - DF;-15.846.051;-47.894.984;;BIOMUNDO GILBERTO SALOMAO LTDA ME
2410;1,2334E+11;16973293;3;95;SAO PAULO;SP;VILA CONGONHAS;4626911;AV WASHINGTON LUIZ;101;;3550308;10;PARA;1;BRASILIA - DF;;;6;ORIGINAL CAFE E BISCOITOS LTDA
1676;7,82139E+11;28340316;1;41;BRASÍLIA;DF;GUARÁ II;71065330;QI 33 ;S/N;;5300108;6;TAGUATINGA/GUARA/AGUAS CLARAS;1;BRASILIA - DF;-15.839.614;-47.967.265;;RHL DISTRIBUIDORA DE BEBIDAS
4096;7,87738E+11;31475201;1;79;BRASILIA;DF;SUDOESTE ;70670503;SETOR SHC/SW CLSW 101;S/N;;5300108;5;SUDOESTE/SIA/OCTOGONAL;1;BRASILIA - DF;;;20;JAQUELINE MARQUES L. MOREIRA
482;7,35877E+11;1011976;1;22;BRASÍLIA;DF;ASA NORTE;70754510;SCS QUADRA 04 BLOCO A Nº 219 ED VERA CRUZ 6º ANDA;1;;5300108;3;ASA NORTE/SOFN/NOROESTE;1;BRASILIA - DF;;;;ORION TELECOMUNICACOES ENGENHARIA S/A
4133;7,81816E+11;28162023;1;11;BRASILIA;DF;SUDOESTE;70670523;SHC/SW CLSW 103 BLOCO C;70;;5300108;5;SUDOESTE/SIA/OCTOGONAL;;;;;7;SUDOESTE SUCHI COMERCIO DE ALIMENTOS LTDA
3817;7,55938E+11;12800534;1;81;BRASILIA;DF;ASA SUL;70300500;SCL/S QD 310 BL C LJ 16;16;;5300108;1;ASA SUL;;;;;19;CALU TORTERIA LTDA
2827;7,8833E+11;31782442;1;60;BRASILIA;DF;GAMA ;72445045;AREA ESPECIAL MERCADO 2;S/N;;5300108;8;GAMA;1;BRASILIA - DF;;;2;DYENISSON RHAINNER GOLCALVES SOUZA 04850792162
3025;7,50162E+11;9465957;1;88;BRASILIA;DF;GAMA ;72415106;QUADRA 2 ;S/N;;5300108;8;GAMA;1;BRASILIA - DF;;;20;IVONETE ALVES SILVA GONCALVES ME 
3785;3,10403E+11;7729964;1;14;FRANCA;SP;PARQUE DAS ÁRVORES;14404071;RUA CÉZAR SIMÕES;2970;;3516200;1;ASA SUL;;;;;1;FRANPACK INDUSTRIA E COMERCIO DE EMBALAGENS LTDA
3618;7,81706E+11;28130004;1;3;BRASILIA;DF;ASA NORTE;70742530;QUADRA CLN 106 BLOCO C;38;;5300108;1;ASA SUL;;;;;16;RESTAURANTE NATURALE PALADAR VEGANO LTDA
4531;7,72324E+11;22543014;1;94;BRASILIA;DF;VILA SAO JOSE (SAO SEBASTIAO);71693011;10 LOTE 01;S/N;;5300108;2;LAGO SUL/SAO SEBASTIAO;1;BRASILIA - DF;;;1;MERCADO BRANDAO LTDA EPP
2093;7,76037E+11;24396344;1;20;BRASILIA;DF;ASA NORTE;70757520;CLN 311 BLOCO B;S/N;;5300108;3;ASA NORTE/SOFN/NOROESTE;1;BRASILIA - DF;-15.756.233;-47.891.067;;JULIMAR SOARES DA CRUZ ME
2486;7,51001E+11;9477652;3;58;BRASILIA;DF;AGUAS CLARAS ;71919180;RUA 36 NORTE ;S/N;;5300108;6;TAGUATINGA/GUARA/AGUAS CLARAS;1;BRASILIA - DF;;;;SDB COMERCIO DE ALIMENTOS LTDA 
463;7,67375E+11;19814455;1;79;BRASÍLIA;DF;TAGUATINGA NORTE;72110600;COLONIA AGRICOLA SAMAMBAIA ;S/N;;5300108;7;VICENTE PIRES;1;BRASILIA - DF;-15.808.307;-48.019.343;;TIAGO DANTAS SILVA 86053388149
3556;7,71287E+11;22054608;1;31;BRASILIA;DF;ASA SUL;70257520;QUADRA CLS 408 BLOCO B;19;;5300108;1;ASA SUL;;;;;15;ARABETTO MISTURA ARABE FRANQUEADORA LTDA
4612;7,58755E+11;14363010;1;4;BRASILIA;DF;SUL (AGUAS CLARAS);71929540;JEQUITIBA LOTE 485 ;S/N;8512100;5300108;2;LAGO SUL/SAO SEBASTIAO;;;;;10;INSTITUTO DE EDUCACAO ALMEIDA VIEIRA LTDA
4495;7,83127E+11;28911016;1;75;BRASILIA;DF;ST RESID OESTE (SAO SEBASTIAO);71692601;QDA 203 ;30;;5300108;2;LAGO SUL/SAO SEBASTIAO;1;BRASILIA - DF;;;2;COM. DE ALIMENTOS E PANIFICACAO SABORELLA 
3673;7,71557E+11;22162997;1;19;BRASILIA;DF;SETOR DE HABITAÇÕES INDIVIDUAIS NORTE;71515200;QUADRA SHIN QI 9;11;;5300108;1;ASA SUL;;;;;3;LUIZ GONZAGA MUNIZ TRIGO
1102;7,65223E+11;7526557;32;6;BRASILIA;DF;ZONO INDUSTRIAL GUARA;71250210;ST SCIA QD 13 ;S/N;;5300108;6;TAGUATINGA/GUARA/AGUAS CLARAS;1;BRASILIA - DF;;;;AMBEV S.A.
3449;7,98743E+11;37457672;1;30;BRASILIA;DF;ASA NORTE;70770680;Q SCRN 716 BLOCO H LOJA;20;;5300108;1;ASA SUL;;;;;28;FRESH FOOD COMERCIO DE ALIMENTOS LTDA
2775;7,93232E+11;4972092;72;16;BRASILIA;DF;SH VICENTE PIRES;72110800;RUA 3 ;S/N;;5300108;6;TAGUATINGA/GUARA/AGUAS CLARAS;1;BRASILIA - DF;;;;GRUPO FARTURA DE HORTIFRUT S.A. - VICENTE PIRES 
3367;7,90313E+11;32915653;1;97;BRASILIA;DF;REGIÃO DOS LAGOS (SOBRADINHO);73251904;RODOVIA BR-020 KM 3;22;;5300108;1;ASA SUL;;;;;27;WESLEY CAETANO FERREIRA COIMBRA 00144889145
4369;7,67979E+11;20114223;1;97;BRASILIA;DF;SOBRADINHO;73010523;QUADRA CENTRAL;S/N;;5300108;11;SOBRADINHO;1;BRASILIA - DF;;;20;3R CARNES E FRIOS EIRELI
1650;7,76273E+11;24514280;1;14;BRASÍLIA;DF;ASA NORTE;70775540;SQN 316 BLOCO D;0;;5300108;3;ASA NORTE/SOFN/NOROESTE;1;BRASILIA - DF;-15.737.927;-4.789.737;;BOCADILLO GOURMET RESAURANTE E LANCHONETE LTDA ME
2456;7,80473E+11;27423772;1;92;BRASILIA;DF;AGUAS CLARAS ;71936970;AV.DAS ARAUCARIAS, LT 1835 A 2005, LOJA 126, ÁGUAS CLARAS;LJ 126;;5300108;6;TAGUATINGA/GUARA/AGUAS CLARAS;1;BRASILIA - DF;;;;SUCESSO COMERCIO DE ALIMENTOS
3552;7,85922E+11;30488544;1;5;BRASILIA;DF;ASA NORTE;70867020;QUADRA SQN 412 BLOCO B;20;;5300108;1;ASA SUL;;;;;10;BLEND BOUCHERIE RESTAURANTE LTDA
673;7,4088E+11;2596812;1;77;BRASÍLIA;DF;ASA NORTE;70722520;CLN 102 BLOCO B;102;;5300108;3;ASA NORTE/SOFN/NOROESTE;1;BRASILIA - DF;;;;PROMMO7 COMUNICAÇÕES LTDA
1111;7,75846E+11;24284626;1;35;BRASÍLIA;DF;ÁGUAS CLARAS;71927180;RUA 25 SUL ;S/N;;5300108;6;TAGUATINGA/GUARA/AGUAS CLARAS;1;BRASILIA - DF;;;;GDS PANIFICADORA E PRODUTOS ALIMENTICIOS EIRELI EPP
3674;7,8123E+11;27807369;1;67;BRASILIA;DF;NORTE (ÁGUAS CLARAS);71908180;RUA RUA 7 NORTE;11;;5300108;1;ASA SUL;;;;;9;WSGG COMERCIO DE BEBIDAS LTDA ME
2678;7,92525E+11;34117844;1;39;BRASILIA;DF;ASA SUL. ;70232525;QUADRA CLS 202;S/N;;5300108;1;ASA SUL;1;BRASILIA - DF;;;;BARBA MIA BARBEARIA LTDA
3509;7,84268E+11;29581649;1;25;BRASILIA;DF;GUARÁ I;71010615;QUADRA QI 8 BLOCO A COMÉRCIO;4 A 10;;5300108;1;ASA SUL;;;;;32;COMERCIAL DE ALIMENTOS BRW LTDA
4260;7,90576E+11;33058708;1;52;BRASILIA;DF;SUDOETE;70673603;QUADRA CLSW 301 ;S/N;;5300108;5;SUDOESTE/SIA/OCTOGONAL;1;BRASILIA - DF;;;6;SUDOESTE COMERCIO DE ALIMENTOS ORGANICOS E SAUDAVEIS LTDA
276;;11517472;1;32;BRASILIA;DF;LAGO NORTE;70000000;SHIN CA 04 CENTRO DE ATIVIDADES;S/N;;5300108;4;LAGO NORTE;1;BRASILIA - DF;-15.721.141;-47.885.456;;CSHE BRASILIA COMERCIAL DE ALIMENTOS LTDA
1213;7,36822E+11;92706308;43;24;BRASÍLIA;DF;SGA/NORTE MUNICÍPIO;70710700;AV W3 QUADRA 702 CONJUNTO B;S/N;;5300108;1;ASA SUL;1;BRASILIA - DF;;;;UNIAO SUL BRASILEIRA DE EDUCACAO E ENSINO
1602;7,4946E+11;9152384;2;13;BRASILIA;DF;ÁGUAS CLARAS;71900100;AV CASTANHEIRAS LT 1060 LJ 24 A 33, 35 E 36;0;;5300108;6;TAGUATINGA/GUARA/AGUAS CLARAS;1;BRASILIA - DF;-15.870.185;-47.964.675;;SACOLÃO DA FARTURA COMÉRCIO DE ALIMENTOS LTDA
3130;7,32747E+11;26465732;1;40;BRASILIA;DF;ASA SUL;70297530;SHCS CL QUADRA 414 ;S/N;;5300108;1;ASA SUL;;;;;;PANIFICADORA E CONF. EIRELI ME 
3329;07700865/001-00;21338233;1;79;BRASILIA;DF;CEILANDIA;72241548;EQNP (COMERCIO) 13/17 BL H LT 01;S/N;;5300108;1;ASA SUL;;;;;23;CASA DE CARNES BOI PRETO EIRELI ME 
3044;7,538E+11;11832519;1;52;BRASILIA;DF;SOBRADINHO ;73030030;QUADRA 3 CL 03 ;S/N;;5300108;11;SOBRADINHO;1;BRASILIA - DF;;;2;PANIFICADORA LORENA LTDA ME 
1026;7,75512E+11;24130257;1;26;BRASILIA;DF;AGUAS CLARAS SUL;71929720;RUA 31 ;S/N;;5300108;6;TAGUATINGA/GUARA/AGUAS CLARAS;1;BRASILIA - DF;-15.839.361;-48.036.044;;SIDI COMÉRCIO DE ALIMENTOS E BEBIDAS LTDA
254;7,33094E+11;885;1;29;BRASÍLIA;DF;ZONA INDUSTRIAL GUARÁ;71200010;SIA TRECHO 01;S/N;;5300108;1;ASA SUL;1;BRASILIA - DF;;;;BRASAL BRASILIA SERVICOS AUTOMOTORES S.A.
4326;7,84281E+11;29526009;2;1;BRASILIA;DF;ASA NORTE;70746540;SHCGN CL;S/N;;5300108;3;ASA NORTE/SOFN/NOROESTE;1;BRASILIA - DF;;;2;GUSTAVO AQUINO NUNES EIRELI
2144;7,74285E+11;23606053;1;56;BRASILIA;DF;ASA NORTE;70715900;SETOR COMERCIAL NORTE QUADRA 05 ;S/N;;5300108;3;ASA NORTE/SOFN/NOROESTE;1;BRASILIA - DF;-15.786.736;-47.889.036;;PC COMERCIO DE PRODUTOS ALIMENTICIOS LTDA
1564;7,69377E+11;20922856;1;21;BRASILIA;DF;LAGO SUL;71625205;SHIS QI 11 ;S/N;;5300108;1;ASA SUL;1;BRASILIA - DF;-15.838.075;-47.869.101;;R S S RIBEIRO ME
4437;8,05408E+11;41879582;1;5;BRASILIA;DF;GUARA II;71065620;QE 30;S/N;;5300108;6;TAGUATINGA/GUARA/AGUAS CLARAS;1;BRASILIA - DF;;;20;LARISSA DE FATIMA NIHARA 03741790184
533;7,69101E+11;20836039;2;31;BRASÍLIA;DF;ASA SUL;71605001;SHIS QI 05 BLOCO A LOJA DE CONVENIENCIA 30 PLL;0;;5300108;1;ASA SUL;1;BRASILIA - DF;;;;LANCHONETE E CONVENIENCIA COSTA LAMEIRA LTDA ME
2428;7,75406E+11;24075447;1;98;BRASILIA;DF;ASA NORTE;70753400;"EQN 110/111 BLOCO ""A"" ";SN;;5300108;3;ASA NORTE/SOFN/NOROESTE;1;BRASILIA - DF;;;;BIOMUNDO 110 NORTE COM. DE PROD. NATURAIS LTDA
1076;7,75189E+11;23944043;1;20;BRASÍLIA;DF;SUDOESTE;70610200;SPO ÁREA ESPECIAL CONJUNTO 1 BLOCO 01 ;S/N;;5300108;5;SUDOESTE/SIA/OCTOGONAL;1;BRASILIA - DF;;;;JM COMERCIO DE ALIMENTOS EIRELI EPP
627;7,4814E+11;8405889;1;7;BRASILIA;DF;ASA SUL;70200690;SGAS 609  ;S/N;;5300108;1;ASA SUL;1;BRASILIA - DF;-15.825.406;-47.900.265;;REDE CENACULO DE ALIMENTACAO LTDA EPP
2489;7,72931E+11;22879250;1;86;BRASILIA;DF;ASA NORTE ;70740708;SHCGN / CLR QD. 711 BLOCO D;S/N;;5300108;3;ASA NORTE/SOFN/NOROESTE;1;BRASILIA - DF;;;;MELLO & MONDINI COMERCIO BEB. LTDA
841;7,68542E+11;20410012;1;0;BRASÍLIA;DF;LAGO NORTE;71510000;SHIN QI 02 ;S/N;;5300108;4;LAGO NORTE;1;BRASILIA - DF;-1.572.345;-47.885.055;;CANAA DISTRIBUIDORA DE ALIMENTOS E BEBIDAS LTDA
2193;7,77562E+11;11949075;1;30;BRASILIA;DF;GUARA (ZONA INDUSTRIAL);71215310;SMAS CONJUNTO A;S/N;;5300108;6;TAGUATINGA/GUARA/AGUAS CLARAS;1;BRASILIA - DF;;;;NOGDAN EMPREENDIMENTOS LTDA
2545;7,53907E+11;11898219;3;38;BRASILIA;DF;PLANALTINA;73340601;QUADRA 6;S/N;;5300108;3;ASA NORTE/SOFN/NOROESTE;1;BRASILIA - DF;;;;G1 COMERCIAL DE ALIMENTOS LTDA FILIAL 2
1055;7,41599E+11;4087445;1;1;BRASÍLIA;DF;SUDOESTE;70670000;SHC/SW EQSW 303/304 NR 01 PARTE;303;;5300108;5;SUDOESTE/SIA/OCTOGONAL;1;BRASILIA - DF;;;;MIRIM ALIMENTAÇÃO ESCOLAR LTDA
1907;7,48411E+11;8616988;4;72;BRASÍLIA;DF;TAGUATINGA NORTE;72140110;QNJ 11;S/N;;5300108;6;TAGUATINGA/GUARA/AGUAS CLARAS;1;BRASILIA - DF;-1.581.244;-48.083.988;;COMERCIAL DE ALIMENTOS SUPERBOM LTDA
3752;7,30479E+11;47508411;247;64;BRASILIA;DF;ZONA INDUSTRIAL (GUARÁ);71200110;TRECHO SIA TRECHO 12;1;;5300108;1;ASA SUL;;;;;32;CIA BRASILEIRA DE DISTRIBUICAO
1079;7,44923E+11;5589568;1;3;BRASILIA;DF;GUARÁ;71060230;QI 23 BL A;S/N;;5300108;6;TAGUATINGA/GUARA/AGUAS CLARAS;1;BRASILIA - DF;-15.826.519;-47.982.086;;G & G PANIFICAÇÃO LTDA EPP
684;7,36931E+11;1737650;1;87;BRASÍLIA;DF;LAGO SUL;71660430;SHIS QI 25 BL D ;S/N;;5300108;2;LAGO SUL/SAO SEBASTIAO;1;BRASILIA - DF;-15.835.537;-47.834.258;;BAGUETTEPAIN PANIFICACAO LTDA EPP
1098;7,47485E+11;7847440;1;28;BRASÍLIA;DF;ASA SUL;70327900;SCS QUADRA 06 BLOCO A LOJA 131;6;;5300108;1;ASA SUL;1;BRASILIA - DF;;;;QUALES COMERCIO E SERVICOS LTDAME
2004;7,66464E+11;19268074;1;31;BRASÍLIA;DF;ASA SUL;70346500;CLS 107;S/N;;5300108;1;ASA SUL;1;BRASILIA - DF;-1.581.101;-47.898.054;;MARINA MORENA BATISTA BRITTO 00827062125
341;;5883358;1;23;BRASILIA;DF;ADE AGUAS CLARAS;71989600;ADE CONJUNTO 21;S/N;;5300108;1;ASA SUL;1;BRASILIA - DF;;;;CIDMED COMERCIAL DE ALIMENTOS LTDA ME
2137;7,76466E+11;20776300;1;74;BRASILIA;DF;LUCIO COSTA;71100140;EPTG EQ 3/4 ;S/N;;5300108;6;TAGUATINGA/GUARA/AGUAS CLARAS;1;BRASILIA - DF;-15.810.412;-47.988.706;;MERCADO SAO JORGE VERDURAO LTDA
2733;7,72983E+11;22849852;1;90;BRASILIA;DF;TAGUATINGA NORTE;72130550;QNH 5;S/N;;5300108;6;TAGUATINGA/GUARA/AGUAS CLARAS;1;BRASILIA - DF;;;;PHELIPE RIBEIRO PIRES 04508116116
4649;7,95603E+11;35811894;1;84;BRASILIA;DF;SETOR DE HABITACOESIN;71615485;SHIS QI 5 BLOCO D ;S/N;;5300108;2;LAGO SUL/SAO SEBASTIAO;1;BRASILIA - DF;;;7;UBUD COMERCIO VAREJISTA DE ALIMENTOS LTDA
1984;7,80931E+11;27609855;1;70;BRASÍLIA;DF;ASA NORTE;70077000;ST SHN QUADRA 1;S/N;;5300108;1;ASA SUL;1;BRASILIA - DF;-15.766.116;-47.937.093;;WFRETES TECNOLOGIA E MEIOS DE PAGAMENTO S.A
2178;7,82541E+11;28568861;1;90;BRASILIA;DF;ASA SUL;70297510;CLS 414 BLOCO A;S/N;;5300108;1;ASA SUL;1;BRASILIA - DF;-15.833.766;-47.915.084;;PIT STOP CONVENIENCIA DE DISTRIBUIDORA EIRELI
